"eid"	"prism.doi"	"pii"	"dc.title"	"prism.coverDate"	"prism.volume"	"prism.pageRange"	"dc.creator"	"citedby.count"	"article.number"	"source.id"	"pubmed.id"	"dc.identifier"	"Topic0"	"Topic1"	"Topic2"	"Topic3"	"Topic4"	"Topic5"	"Topic6"	"Topic7"	"Topic8"	"Topic9"	"dominant_topic"	"eid"	"pii"	"neg"	"neu"	"pos"	"compound"	"eid"	"pii"	"year"
"2-s2.0-0012721888"	"10.1016/S0047-2484(81)80003-6"	"S0047248481800036"	"Mortality and culture change in Nubia's Batn el Hajar"	"1981-01-01"	10	"395-408"	"Van Gerven D."	58	NA	18927	NA	"SCOPUS_ID:0012721888"	0	0	0.88	0.01	0	0	0.08	0	0	0.03	2	"2-s2.0-0012721888"	"S0047248481800036"	0.061	0.85	0.089	0.9981	"2-s2.0-0012721888"	"S0047248481800036"	"1981"
"2-s2.0-0029528885"	"10.1006/jhev.1995.1068"	"S0047248485710688"	"Craniometric variation in large-bodied hominoids: Testing the single-species hypothesis for Homo habilis"	"1995-01-01"	29	"443-462"	"Kramer A."	42	NA	18927	NA	"SCOPUS_ID:0029528885"	0	0	0	0	0.29	0.44	0	0.26	0	0	5	"2-s2.0-0029528885"	"S0047248485710688"	0.046	0.834	0.121	0.9876	"2-s2.0-0029528885"	"S0047248485710688"	"1995"
"2-s2.0-34548585657"	"10.1016/j.jhevol.2007.05.006"	"S0047248407001091"	"From carcass to cave: Large mammal exploitation during the Aurignacian at Vogelherd, Germany"	"2007-01-01"	53	"362-382"	"Niven L."	42	NA	18927	17663999	"SCOPUS_ID:34548585657"	0.02	0	0	0.01	0	0	0.87	0.04	0.01	0.06	6	"2-s2.0-34548585657"	"S0047248407001091"	0.041	0.89	0.068	0.9997	"2-s2.0-34548585657"	"S0047248407001091"	"2007"
"2-s2.0-0346028517"	"10.1016/0047-2484(92)90035-8"	"0047-2484(92)90035-8"	"Dental development in apes and humans: a comment on Simpson, Lovejoy and Meindl (1990)"	"1992-01-01"	22	"149-153"	"Anemone R.L."	16	NA	18927	NA	"SCOPUS_ID:0346028517"	0	0	0.2	0.09	0	0.15	0	0	0.44	0.12	8	"2-s2.0-0346028517"	"0047-2484(92)90035-8"	0.022	0.901	0.077	0.9979	"2-s2.0-0346028517"	"0047-2484(92)90035-8"	"1992"
"2-s2.0-84928184537"	"10.1016/j.jhevol.2015.02.012"	"S0047248415000457"	"A new approach for deciphering between single and multiple accumulation events using intra-tooth isotopic variations: Application to the Middle Pleistocene bone bed of Schöningen 13 II-4"	"2013-06-20"	89	"114-128"	"Julien M.A."	28	NA	18927	25912820	"SCOPUS_ID:84928184537"	0	0.5	0.04	0	0	0.01	0.21	0	0.18	0.07	1	"2-s2.0-84928184537"	"S0047248415000457"	0.045	0.873	0.082	0.9997	"2-s2.0-84928184537"	"S0047248415000457"	"2013"
"2-s2.0-0027430373"	"10.1006/jhev.1993.1004"	"S0047248483710043"	"The diet of the Neanderthal Child Gibraltar 2 (Devil's Tower) through the study of the vestibular striation pattern"	"1993-01-01"	24	"29-41"	"Fox C."	52	NA	18927	NA	"SCOPUS_ID:0027430373"	0.57	0	0	0	0	0.05	0	0	0.26	0.11	0	"2-s2.0-0027430373"	"S0047248483710043"	0.024	0.916	0.06	0.802	"2-s2.0-0027430373"	"S0047248483710043"	"1993"
"2-s2.0-79953034251"	"10.1016/j.jhevol.2010.12.008"	"S0047248411000078"	"Hand preferences for coordinated bimanual actions in 777 great apes: Implications for the evolution of handedness in Hominins"	"2011-01-01"	60	"605-611"	"Hopkins W."	111	NA	18927	NA	"SCOPUS_ID:79953034251"	0	0	0	0	0	0.08	0	0.03	0	0.89	9	"2-s2.0-79953034251"	"S0047248411000078"	0.031	0.83	0.139	0.9999	"2-s2.0-79953034251"	"S0047248411000078"	"2011"
"2-s2.0-34247571821"	"10.1016/j.jhevol.2006.11.016"	"S0047248407000395"	"Homoplasy and the evolution of ontogeny in papionin primates"	"2007-01-01"	52	"536-558"	"Leigh S."	20	NA	18927	17418374	"SCOPUS_ID:34247571821"	0	0	0.03	0	0.03	0.82	0	0.02	0	0.1	5	"2-s2.0-34247571821"	"S0047248407000395"	0.024	0.889	0.087	0.9999	"2-s2.0-34247571821"	"S0047248407000395"	"2007"
"2-s2.0-84887612508"	"10.1016/j.jhevol.2013.06.008"	"S0047248413001462"	"Ontogenetic changes in limb bone structural proportions in mountain gorillas (Gorilla beringei beringei)"	"2013-01-01"	65	"693-703"	"Ruff C.B."	51	NA	18927	24129040	"SCOPUS_ID:84887612508"	0	0	0	0.66	0	0.03	0	0.08	0	0.24	3	"2-s2.0-84887612508"	"S0047248413001462"	0.018	0.87	0.113	1	"2-s2.0-84887612508"	"S0047248413001462"	"2013"
"2-s2.0-0034054646"	"10.1006/jhev.1999.0370"	"S0047248499903706"	"Middle Paleolithic human deciduous incisor from Khudji, Tajikistan"	"2000-01-01"	38	"575-584"	"Trinkaus E."	20	NA	18927	10715197	"SCOPUS_ID:0034054646"	0.55	0	0.04	0	0	0	0.11	0	0.31	0	0	"2-s2.0-0034054646"	"S0047248499903706"	0.007	0.966	0.027	0.9246	"2-s2.0-0034054646"	"S0047248499903706"	"2000"
"2-s2.0-0018831463"	"10.1016/0047-2484(80)90041-X"	"004724848090041X"	"Notes on some skeletal changes in pre-European contact Australian aborigines"	"1980-01-01"	9	"xx-xx"	"Sandison A."	3	NA	18927	NA	"SCOPUS_ID:0018831463"	0	0	0.81	0.05	0.06	0	0.04	0.01	0.03	0	2	"2-s2.0-0018831463"	"004724848090041X"	0.053	0.879	0.068	0.9648	"2-s2.0-0018831463"	"004724848090041X"	"1980"
"2-s2.0-84928694679"	"10.1016/j.jhevol.2015.02.018"	"S0047248415000512"	"A geometric morphometrics comparative analysis of Neandertal humeri (epiphyses-fused) from the El Sidrón cave site (Asturias, Spain)"	"2015-05-01"	82	"51-66"	"Rosas A."	15	NA	18927	25819346	"SCOPUS_ID:84928694679"	0.57	0	0	0.16	0.04	0	0	0.23	0	0	0	"2-s2.0-84928694679"	"S0047248415000512"	0.018	0.917	0.064	0.9999	"2-s2.0-84928694679"	"S0047248415000512"	"2015"
"2-s2.0-85054010564"	"10.1016/j.jhevol.2018.07.001"	"S0047248417303160"	"The spatio-temporal distribution of archaeological and faunal finds at Liang Bua (Flores, Indonesia) in light of the revised chronology for Homo floresiensis"	"2018-11-01"	124	"52-74"	"Sutikna T."	18	NA	18927	30173885	"SCOPUS_ID:85054010564"	0	0.28	0.01	0.03	0	0.04	0.64	0	0	0	6	"2-s2.0-85054010564"	"S0047248417303160"	0.02	0.897	0.083	0.9999	"2-s2.0-85054010564"	"S0047248417303160"	"2018"
"2-s2.0-85086872401"	"10.1016/j.jhevol.2020.102799"	"S0047248420300609"	"Baboon biogeography, divergence, and evolution: Morphological and paleoecological perspectives"	"2020-08-01"	145	"xx-xx"	"Elton S."	3	102799	18927	32619882	"SCOPUS_ID:85086872401"	0	0.31	0.04	0	0.02	0.31	0	0.01	0	0.31	1	"2-s2.0-85086872401"	"S0047248420300609"	0.02	0.893	0.087	1	"2-s2.0-85086872401"	"S0047248420300609"	"2020"
"2-s2.0-77958163303"	"10.1016/j.jhevol.2010.05.008"	"S0047248410001338"	"Optically stimulated luminescence dating of cave deposits at the Xiaogushan prehistoric site, northeastern China"	"2010-01-01"	59	"514-524"	"Zhang J."	35	NA	18927	NA	"SCOPUS_ID:77958163303"	0	0.06	0	0	0	0	0.94	0	0	0	6	"2-s2.0-77958163303"	"S0047248410001338"	0.029	0.904	0.067	0.9994	"2-s2.0-77958163303"	"S0047248410001338"	"2010"
"2-s2.0-85066436623"	"10.1016/j.jhevol.2019.05.001"	"S0047248419300260"	"Macroevolutionary effects on primate trophic evolution and their implications for reconstructing primate origins"	"2019-08-01"	133	"1-12"	"Scott J.E."	1	NA	18927	31358174	"SCOPUS_ID:85066436623"	0	0.04	0.27	0	0	0.44	0	0.16	0.01	0.08	5	"2-s2.0-85066436623"	"S0047248419300260"	0.025	0.899	0.075	0.9999	"2-s2.0-85066436623"	"S0047248419300260"	"2019"
"2-s2.0-0025595853"	"10.1016/0047-2484(90)90023-5"	"47248490900235"	"A new Early Miocene fauna from northern Thailand"	"1990-01-01"	19	"811-815"	"Pope G.G."	7	NA	18927	NA	"SCOPUS_ID:0025595853"	0	0.9	0	0	0	0	0.01	0.02	0.07	0	1	"2-s2.0-0025595853"	"47248490900235"	0.023	0.932	0.045	0.9913	"2-s2.0-0025595853"	"47248490900235"	"1990"
"2-s2.0-0342516539"	"10.1016/S0047-2484(78)80048-7"	"S0047248478800487"	"Comparative morphology of primate spermatozoa using scanning electron microscopy. II. Families cercopithecidae, Lorisidae, Lemuridae"	"1978-01-01"	7	"xx-xx"	"Gould K."	8	NA	18927	NA	"SCOPUS_ID:0342516539"	0	0.01	0.68	0	0	0.09	0	0.2	0	0.03	2	"2-s2.0-0342516539"	"S0047248478800487"	0.022	0.915	0.063	0.9979	"2-s2.0-0342516539"	"S0047248478800487"	"1978"
"2-s2.0-33751109947"	"10.1016/j.jhevol.2006.07.009"	"S0047248406001485"	"Identifying the morphological signatures of hybridization in primate and human evolution"	"2006-01-01"	51	"632-645"	"Ackermann R."	86	NA	18927	16962160	"SCOPUS_ID:33751109947"	0.04	0	0.32	0	0.13	0.21	0	0	0.09	0.21	2	"2-s2.0-33751109947"	"S0047248406001485"	0.017	0.883	0.1	0.9999	"2-s2.0-33751109947"	"S0047248406001485"	"2006"
"2-s2.0-33644868735"	"10.1016/j.jhevol.2005.11.001"	"S0047248405002009"	"Adaptive origins of primates revisited"	"2006-01-01"	50	"414-430"	"Soligo C."	68	NA	18927	16364405	"SCOPUS_ID:33644868735"	0	0.1	0.09	0.11	0	0.23	0	0.41	0	0.06	7	"2-s2.0-33644868735"	"S0047248405002009"	0.018	0.903	0.079	0.9999	"2-s2.0-33644868735"	"S0047248405002009"	"2006"
"2-s2.0-85044251881"	"10.1016/j.jhevol.2017.12.002"	"S0047248416301725"	"Craniomandibular form and body size variation of first generation mouse hybrids: A model for hominin hybridization"	"2018-03-01"	116	"57-74"	"Warren K.A."	5	NA	18927	29477182	"SCOPUS_ID:85044251881"	0.08	0	0.37	0.01	0.02	0.45	0	0.02	0.01	0.03	5	"2-s2.0-85044251881"	"S0047248416301725"	0.019	0.908	0.072	0.9999	"2-s2.0-85044251881"	"S0047248416301725"	"2018"
"2-s2.0-84855189724"	"10.1016/j.jhevol.2011.08.007"	"S0047248411001813"	"Morphological description and comparison of the dental remains from Atapuerca-Sima de los Huesos site (Spain)"	"2012-01-01"	62	"7-58"	"Martinón-Torres M."	149	NA	18927	NA	"SCOPUS_ID:84855189724"	0.32	0	0	0	0	0	0	0	0.68	0	8	"2-s2.0-84855189724"	"S0047248411001813"	0.028	0.916	0.055	0.9999	"2-s2.0-84855189724"	"S0047248411001813"	"2012"
"2-s2.0-0000353771"	"10.1006/jhev.1999.0358"	"S0047248499903585"	"Distinguishing between apples and oranges: The application of modern cut-mark studies to the Plio-Pleistocene (a reply to Monahan)"	"1999-01-01"	37	"793-800"	"Dominguez-Rodrigo M."	17	NA	18927	NA	"SCOPUS_ID:0000353771"	0.13	0.21	0	0	0	0	0.65	0	0	0	6	"2-s2.0-0000353771"	"S0047248499903585"	0.007	0.949	0.044	0.8979	"2-s2.0-0000353771"	"S0047248499903585"	"1999"
"2-s2.0-0142160267"	"10.1016/0047-2484(72)90022-X"	"004724847290022X"	"Evidence of infective disease"	"1972-01-01"	1	"213-224"	"Sandison A.T."	5	NA	18927	NA	"SCOPUS_ID:0142160267"	0	0	0.9	0.03	0.03	0	0.03	0	0	0	2	"2-s2.0-0142160267"	"004724847290022X"	0.076	0.843	0.082	0.9411	"2-s2.0-0142160267"	"004724847290022X"	"1972"
"2-s2.0-0018636241"	"10.1016/0047-2484(79)90070-8"	"0047-2484(79)90070-8"	"Non-metric variation of the skull in samples of four Indian populations"	"1979-01-01"	8	"693-697"	"Kaul S."	16	NA	18927	NA	"SCOPUS_ID:0018636241"	0	0.01	0.66	0	0.31	0	0.01	0	0	0	2	"2-s2.0-0018636241"	"0047-2484(79)90070-8"	0.031	0.926	0.043	0.8896	"2-s2.0-0018636241"	"0047-2484(79)90070-8"	"1979"
"2-s2.0-85049420391"	"10.1016/j.jhevol.2018.05.009"	"S0047248417304426"	"Over 100 years of Krapina: New insights into the Neanderthal thorax from the study of rib cross-sectional morphology"	"2018-09-01"	122	"124-132"	"García-Martínez D."	9	NA	18927	29983156	"SCOPUS_ID:85049420391"	0.76	0	0	0.17	0	0.07	0	0	0	0	0	"2-s2.0-85049420391"	"S0047248417304426"	0.022	0.902	0.075	0.9997	"2-s2.0-85049420391"	"S0047248417304426"	"2018"
"2-s2.0-0001134604"	"10.1016/0047-2484(72)90067-X"	"004724847290067X"	"Dental anthropology of early Egypt and Nubia"	"1972-01-01"	1	"315-324"	"Greene D."	63	NA	18927	NA	"SCOPUS_ID:0001134604"	0	0	0.72	0	0	0	0	0	0.28	0	2	"2-s2.0-0001134604"	"004724847290067X"	0.028	0.91	0.062	0.9987	"2-s2.0-0001134604"	"004724847290067X"	"1972"
"2-s2.0-0033120733"	"10.1006/jhev.1998.0278"	"S0047248498902780"	"Recognizing species diversity among large-bodied hominoids: A simulation test using missing data finite mixture analysis"	"1999-01-01"	36	"409-421"	"Kramer A."	16	NA	18927	10208794	"SCOPUS_ID:0033120733"	0.1	0	0.57	0	0	0.12	0	0.21	0	0.01	2	"2-s2.0-0033120733"	"S0047248498902780"	0.073	0.863	0.064	0.114	"2-s2.0-0033120733"	"S0047248498902780"	"1999"
"2-s2.0-33745948323"	"10.1016/j.jhevol.2005.12.004"	"S0047248405002265"	"Hominin lower second premolar morphology: evolutionary inferences through geometric morphometric analysis"	"2006-01-01"	50	"523-533"	"Martinón-Torres M."	125	NA	18927	16472839	"SCOPUS_ID:33745948323"	0.41	0	0	0	0.03	0.25	0	0	0.31	0	0	"2-s2.0-33745948323"	"S0047248405002265"	0.031	0.896	0.073	0.9995	"2-s2.0-33745948323"	"S0047248405002265"	"2006"
"2-s2.0-58149370688"	"10.1016/S0047-2484(83)80170-5"	"S0047248483801705"	"Reply to McGrew, Baldwin &amp; Tutin"	"1983-01-01"	12	"415-417"	"Kortlandt A."	0	NA	18927	NA	"SCOPUS_ID:58149370688"	0	0	0.35	0	0	0	0	0	0	0.65	9	"2-s2.0-58149370688"	"S0047248483801705"	0.062	0.853	0.086	0.9874	"2-s2.0-58149370688"	"S0047248483801705"	"1983"
"2-s2.0-33845482645"	"10.1016/S0047-2484(78)80031-1"	"S0047248478800311"	"Early farming communities in India"	"1978-01-01"	7	"11-22"	"Thapar B.K."	3	NA	18927	NA	"SCOPUS_ID:33845482645"	0	0.13	0.48	0	0	0	0.39	0	0	0	2	"2-s2.0-33845482645"	"S0047248478800311"	0.026	0.928	0.045	0.9973	"2-s2.0-33845482645"	"S0047248478800311"	"1978"
"2-s2.0-0024904001"	"10.1016/0047-2484(89)90016-X"	"004724848990016X"	"Body mass, sexual dimorphism and femoral proportions of Proconsul from Rusinga and Mfangano Islands, Kenya"	"1989-01-01"	18	"515-536"	"Ruff C."	71	NA	18927	NA	"SCOPUS_ID:0024904001"	0	0	0	0.5	0.01	0	0	0.45	0.01	0.03	3	"2-s2.0-0024904001"	"004724848990016X"	0.021	0.92	0.06	0.9998	"2-s2.0-0024904001"	"004724848990016X"	"1989"
"2-s2.0-45949129207"	"10.1016/0047-2484(80)90098-6"	"47248480900986"	"Primary sex ratio of 125 males to 100 females? Analysis of an artifact"	"1980-01-01"	9	"651-654"	"Degenhardt A."	4	NA	18927	NA	"SCOPUS_ID:45949129207"	0	0	0.77	0.01	0	0	0	0	0	0.22	2	"2-s2.0-45949129207"	"47248480900986"	0.028	0.857	0.115	0.9984	"2-s2.0-45949129207"	"47248480900986"	"1980"
"2-s2.0-85020252707"	"10.1016/j.jhevol.2017.05.006"	"S004724841630183X"	"Comment on “Ecological niche of Neanderthals from Spy Cave revealed by nitrogen isotopes of individual amino acids in collagen” [J. Hum. Evol. 93 (2016) 82–90]"	"2018-04-01"	117	"53-55"	"O'Connell T.C."	7	NA	18927	28602430	"SCOPUS_ID:85020252707"	0.02	0.38	0.36	0.02	0	0.04	0.17	0	0	0	1	"2-s2.0-85020252707"	"S004724841630183X"	0.029	0.875	0.096	0.9987	"2-s2.0-85020252707"	"S004724841630183X"	"2018"
"2-s2.0-0001163069"	"10.1016/0047-2484(90)90070-R"	"004724849090070R"	"Hominoid dental maturation"	"1990-01-01"	19	"285-297"	"Simpson S."	39	NA	18927	NA	"SCOPUS_ID:0001163069"	0	0	0.45	0	0.22	0.03	0	0	0.13	0.16	2	"2-s2.0-0001163069"	"004724849090070R"	0.028	0.877	0.096	0.9989	"2-s2.0-0001163069"	"004724849090070R"	"1990"
"2-s2.0-64649103686"	"10.1016/j.jhevol.2008.12.004"	"S0047248408002443"	"Bonobos have a more human-like second-to-fourth finger length ratio (2D:4D) than chimpanzees: a hypothesized indication of lower prenatal androgens"	"2009-01-01"	56	"361-365"	"McIntyre M.H."	47	NA	18927	19285708	"SCOPUS_ID:64649103686"	0	0	0.03	0.18	0	0.17	0	0.07	0	0.55	9	"2-s2.0-64649103686"	"S0047248408002443"	0.026	0.887	0.087	0.9995	"2-s2.0-64649103686"	"S0047248408002443"	"2009"
"2-s2.0-0002314971"	"10.1016/0047-2484(88)90051-6"	"0047-2484(88)90051-6"	"Adaptive diversification of Malagasy strepsirrhines"	"1988-01-01"	17	"93-134"	"Godfrey L."	60	NA	18927	NA	"SCOPUS_ID:0002314971"	0	0	0.02	0.24	0	0	0	0.74	0	0.01	7	"2-s2.0-0002314971"	"0047-2484(88)90051-6"	0.023	0.886	0.091	1	"2-s2.0-0002314971"	"0047-2484(88)90051-6"	"1988"
"2-s2.0-84902290417"	"10.1016/j.jhevol.2014.02.015"	"S0047248414000608"	"Why do chimpanzees hunt? Considering the benefits and costs ofacquiring and consuming vertebrate versus invertebrate prey"	"2014-01-01"	71	"38-45"	"Tennie C."	18	NA	18927	24703750	"SCOPUS_ID:84902290417"	0	0	0	0	0	0	0	0	0	1	9	"2-s2.0-84902290417"	"S0047248414000608"	0.042	0.847	0.111	0.9999	"2-s2.0-84902290417"	"S0047248414000608"	"2014"
"2-s2.0-32044454186"	"10.1016/j.jhevol.2005.08.011"	"S0047248405001594"	"Matuyama-age lithic tools from the Sima del Elefante site, Atapuerca (northern Spain)"	"2006-01-01"	50	"163-169"	"Paŕes J.M."	114	NA	18927	16249015	"SCOPUS_ID:32044454186"	0.47	0.19	0	0	0	0	0.34	0	0	0	0	"2-s2.0-32044454186"	"S0047248405001594"	0.022	0.907	0.072	0.9992	"2-s2.0-32044454186"	"S0047248405001594"	"2006"
"2-s2.0-84883465173"	"10.1016/j.jhevol.2013.06.003"	"S0047248413001383"	"Origins of the iberomaurusian in NW Africa: New AMS radiocarbon dating of the middle and later stone age deposits at taforalt cave, Morocco"	"2013-01-01"	65	"266-281"	"Barton R.N.E."	50	NA	18927	23891007	"SCOPUS_ID:84883465173"	0	0.01	0.08	0	0.01	0	0.91	0	0	0	6	"2-s2.0-84883465173"	"S0047248413001383"	0.023	0.914	0.064	0.9998	"2-s2.0-84883465173"	"S0047248413001383"	"2013"
"2-s2.0-85088632538"	"10.1016/j.jhevol.2020.102849"	"S004724842030110X"	"Human manual distal phalanges from the Middle Stone Age deposits of Klasies River Main Site, Western Cape Province, South Africa"	"2020-09-01"	146	"xx-xx"	"Grine F.E."	0	102849	18927	32721654	"SCOPUS_ID:85088632538"	0.21	0	0	0.02	0.01	0	0.43	0.28	0.04	0	6	"2-s2.0-85088632538"	"S004724842030110X"	0.023	0.922	0.055	0.9997	"2-s2.0-85088632538"	"S004724842030110X"	"2020"
"2-s2.0-0015784242"	"10.1016/0047-2484(73)90011-0"	"47248473900110"	"A comparison of the fluorescent karyotypes of the chimpanzee (Pan troglodytes) and man"	"1973-01-01"	2	"311-321"	"Lin C.C."	22	NA	18927	NA	"SCOPUS_ID:0015784242"	0	0	0.87	0	0	0	0	0.02	0	0.11	2	"2-s2.0-0015784242"	"47248473900110"	0.018	0.925	0.057	0.9983	"2-s2.0-0015784242"	"47248473900110"	"1973"
"2-s2.0-34447117592"	"10.1016/j.jhevol.2007.03.001"	"S0047248407000474"	"Were neandertal and modern human cranial differences produced by natural selection or genetic drift?"	"2007-01-01"	53	"135-145"	"Weaver T."	120	NA	18927	17512036	"SCOPUS_ID:34447117592"	0.25	0	0.3	0.01	0	0.44	0	0	0	0	5	"2-s2.0-34447117592"	"S0047248407000474"	0.023	0.903	0.075	0.9997	"2-s2.0-34447117592"	"S0047248407000474"	"2007"
"2-s2.0-85037352071"	"10.1016/j.jhevol.2017.11.004"	"S0047248417302993"	"Nasolacrimal anatomy and haplorhine origins"	"2018-01-01"	114	"176-183"	"Rossie J.B."	2	NA	18927	29447758	"SCOPUS_ID:85037352071"	0.13	0	0.02	0	0.21	0.1	0	0.5	0.02	0.01	7	"2-s2.0-85037352071"	"S0047248417302993"	0.027	0.894	0.079	0.9996	"2-s2.0-85037352071"	"S0047248417302993"	"2018"
"2-s2.0-58149406676"	"10.1016/S0047-2484(82)80043-2"	"S0047248482800432"	"Glutamic-pyruvic transaminase (GPT) in non-human primates II. Implication of the interspecific variation in enzyme activity"	"1982-01-01"	11	"xx-xx"	"Ueda S."	2	NA	18927	NA	"SCOPUS_ID:58149406676"	0	0	0.72	0	0	0	0.04	0	0	0.24	2	"2-s2.0-58149406676"	"S0047248482800432"	0.023	0.898	0.079	0.999	"2-s2.0-58149406676"	"S0047248482800432"	"1982"
"2-s2.0-34248597363"	"10.1016/j.jhevol.2006.12.005"	"S0047248407000024"	"A geometric morphometric analysis of heterochrony in the cranium of chimpanzees and bonobos"	"2007-01-01"	52	"647-662"	"Lieberman D."	76	NA	18927	17298840	"SCOPUS_ID:34248597363"	0.01	0	0.01	0.01	0.05	0.8	0	0.01	0.02	0.09	5	"2-s2.0-34248597363"	"S0047248407000024"	0.024	0.899	0.077	0.9998	"2-s2.0-34248597363"	"S0047248407000024"	"2007"
"2-s2.0-0345880574"	"10.1016/S0047-2484(82)80096-1"	"S0047248482800961"	"Towards a solution to the neanderthal problem"	"1982-01-01"	11	"431-438"	"Stringer C."	8	NA	18927	NA	"SCOPUS_ID:0345880574"	0.58	0	0.36	0.01	0	0	0.06	0	0	0	0	"2-s2.0-0345880574"	"S0047248482800961"	0.039	0.879	0.082	0.999	"2-s2.0-0345880574"	"S0047248482800961"	"1982"
"2-s2.0-33846526004"	"10.1016/j.jhevol.2006.09.001"	"S0047248406001734"	"Limb-size proportions in Australopithecus afarensis and Australopithecus africanus"	"2007-01-01"	52	"187-200"	"Green D.J."	73	NA	18927	17049965	"SCOPUS_ID:33846526004"	0	0	0	0.52	0.28	0.05	0	0.14	0	0	3	"2-s2.0-33846526004"	"S0047248406001734"	0.024	0.88	0.096	0.9999	"2-s2.0-33846526004"	"S0047248406001734"	"2007"
"2-s2.0-0018089398"	"10.1016/S0047-2484(78)80073-6"	"S0047248478800736"	"Some notes on Wolpoff's notes on the Vértesszöllös occipital"	"1978-01-01"	7	"xx-xx"	"Thoma A."	2	NA	18927	NA	"SCOPUS_ID:0018089398"	0.27	0	0.37	0.07	0.29	0	0	0	0	0	2	"2-s2.0-0018089398"	"S0047248478800736"	0.048	0.866	0.086	0.9901	"2-s2.0-0018089398"	"S0047248478800736"	"1978"
"2-s2.0-38249034029"	"10.1016/0047-2484(87)90021-2"	"0047-2484(87)90021-2"	"The first stone artefacts to be found in situ within the Plio-Pleistocene Chiwondo Beds in northern Malawi"	"1987-01-01"	16	"729-740"	"Kaufulu Z."	14	NA	18927	NA	"SCOPUS_ID:38249034029"	0	0.28	0	0	0	0	0.72	0	0	0	6	"2-s2.0-38249034029"	"0047-2484(87)90021-2"	0.034	0.915	0.051	0.9903	"2-s2.0-38249034029"	"0047-2484(87)90021-2"	"1987"
"2-s2.0-85105010441"	"10.1016/j.jhevol.2021.102983"	"S004724842100035X"	"The pectoral girdle of StW 573 (‘Little Foot’) and its implications for shoulder evolution in the Hominina"	"2021-01-01"	NA	"xx-xx"	"Carlson K.J."	1	102983	18927	NA	"SCOPUS_ID:85105010441"	0.06	0	0	0.16	0.44	0.02	0.02	0.31	0	0	4	"2-s2.0-85105010441"	"S004724842100035X"	0.022	0.899	0.079	1	"2-s2.0-85105010441"	"S004724842100035X"	"2021"
"2-s2.0-0033103828"	"10.1006/jhev.1998.0271"	"S0047248498902718"	"Seasonal variations of the Middle-Upper Paleolithic transition at El Castillo, Cueva Morin and El Pendo (Cantabria, Spain)"	"1999-01-01"	36	"283-317"	"Pike-Tay A."	67	NA	18927	10074385	"SCOPUS_ID:0033103828"	0.26	0	0.03	0	0	0	0.52	0	0	0.19	6	"2-s2.0-0033103828"	"S0047248498902718"	0.033	0.878	0.089	0.9799	"2-s2.0-0033103828"	"S0047248498902718"	"1999"
"2-s2.0-0028554455"	"10.1006/jhev.1994.1043"	"S0047248484710438"	"Carnivore tooth marks and stone tool butchery marks on scavenged bones: Archaeological implications"	"1994-01-01"	27	"215-228"	"Selvaggio M."	139	NA	18927	NA	"SCOPUS_ID:0028554455"	0	0	0	0.01	0	0	0.98	0	0	0	6	"2-s2.0-0028554455"	"S0047248484710438"	0.079	0.88	0.041	-0.9786	"2-s2.0-0028554455"	"S0047248484710438"	"1994"
"2-s2.0-0015896319"	"10.1016/0047-2484(73)90005-5"	"47248473900055"	"Numerical data on the chromosomes of Tupaioidea, Lorisoidea, Lemuroidea and Tarsioidea"	"1973-01-01"	2	"279-281"	"Chiarelli B."	1	NA	18927	NA	"SCOPUS_ID:0015896319"	0	0	0.77	0	0	0	0	0.22	0	0	2	"2-s2.0-0015896319"	"47248473900055"	0.005	0.981	0.014	0.9022	"2-s2.0-0015896319"	"47248473900055"	"1973"
"2-s2.0-85035090573"	"10.1016/j.jhevol.2017.10.008"	"S0047248417304451"	"Articular scaling and body mass estimation in platyrrhines and catarrhines: Modern variation and application to fossil anthropoids"	"2018-02-01"	115	"20-35"	"Perry J."	10	NA	18927	29150186	"SCOPUS_ID:85035090573"	0	0	0	0.5	0	0.03	0	0.45	0.01	0	3	"2-s2.0-85035090573"	"S0047248417304451"	0.024	0.908	0.068	0.9999	"2-s2.0-85035090573"	"S0047248417304451"	"2018"
"2-s2.0-85017568138"	"10.1016/j.jhevol.2017.03.010"	"S0047248417301203"	"Functional analyses of the primate upper cervical vertebral column"	"2017-06-01"	107	"19-35"	"Nalley T."	13	NA	18927	28526287	"SCOPUS_ID:85017568138"	0.01	0	0	0.27	0.04	0.13	0	0.55	0	0	7	"2-s2.0-85017568138"	"S0047248417301203"	0.016	0.87	0.114	1	"2-s2.0-85017568138"	"S0047248417301203"	"2017"
"2-s2.0-85088666658"	"10.1016/j.jhevol.2020.102819"	"S0047248420300804"	"Philopatry at the frontier: A demographically driven scenario for the evolution of multilevel societies in baboons (Papio)"	"2020-09-01"	146	"xx-xx"	"Jolly C.J."	5	102819	18927	32736063	"SCOPUS_ID:85088666658"	0	0.16	0.17	0	0	0.03	0	0	0	0.64	9	"2-s2.0-85088666658"	"S0047248420300804"	0.032	0.885	0.083	1	"2-s2.0-85088666658"	"S0047248420300804"	"2020"
